stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0211GHT,,Main stage,Ronald Ngara D,-1.285212,36.828894,,,,
0201KRK,,Kariokor,ND,-1.279431,36.833293,,,,
0201PNG,,Pangani,ND,-1.266785,36.834315,,,,
0211MTG,,Muthaiga,D,-1.259818,36.843621,,,,
0211NYS,,NYS stage,D,-1.256155,36.855219,,,,
0211KCA,,KCA,D,-1.252175,36.859441,,,,
0211DRV,,Drive in,D,-1.248373,36.863078,,,,
0201ALS,,Allsops,ND,-1.244367,36.86667,,,,
0211ALS,,Allsops,D,-1.244064,36.867212,,,,
0201HML,,Homeland in,ND,-1.232262,36.87565,,,,
0211STD,,Stadium,D,-1.224904,36.885542,,,,
0201RSB,,Roysabu,ND,-1.218471,36.89246,,,,
0211GHD,,Gihurai,MainStage D,-1.204341,36.916884,,,,
0210GHD,,Gihurai,MainStage D,-1.204341,36.916884,,,,
0210RSB,,Roysabu,D,-1.218422,36.892991,,,,
0210STD,,Stadium,D,-1.221149,36.890238,,,,
0200STD,,Stadium,ND,-1.221498,36.88989,,,,
0200HML,,Homeland in,ND,-1.234187,36.874215,,,,
0210ALS,,All sops,D,-1.245918,36.8666807,,,,
0210DRV,,Drive in,D,-1.248201,36.863979,,,,
0210KCA,,KCA,D,-1.251848,36.860455,,,,
0210SUR,,survey,D,-1.256648,36.855305,,,,
0210MTG,,Muthaiga,D,-1.259936,36.844346,,,,
0210PNG,,Pangani,D,-1.266179,36.835124,,,,
0210KAR,,Kariokor,D,-1.27927,36.833639,,,,
0210GHT,,Main stage,default main stage D,-1.285212,36.828894,,,,